,0
1089,72
1090,80
1091,71
1092,85
1093,65
1094,92
1095,74
1096,53
1097,51
1098,87
1099,46
1100,104
1101,79
1102,79
1103,96
1104,67
1105,76
1106,125
1107,118
1108,42
1109,49
1110,73
1111,82
1112,66
1113,58
1114,74
1115,50
1116,71
1117,53
1118,86
1119,110
1120,123
1121,68
1122,106
1123,115
1124,53
1125,72
1126,87
1127,47
1128,69
1129,87
1130,95
1131,91
1132,50
1133,114
1134,53
1135,116
1136,80
1137,84
1138,35
1139,97
1140,98
1141,56
1142,70
1143,61
1144,90
1145,66
1146,71
1147,86
1148,69
1149,56
1150,60
1151,110
1152,69
1153,92
1154,71
1155,92
1156,102
1157,113
1158,48
1159,79
1160,79
1161,80
1162,58
1163,101
1164,89
1165,112
1166,55
1167,54
1168,84
1169,53
1170,80
1171,138
1172,80
1173,50
1174,90
1175,98
1176,99
1177,104
1178,36
1179,55
1180,95
1181,119
1182,96
1183,51
1184,98
1185,105
1186,76
1187,68
1188,127
1189,33
1190,77
1191,68
1192,56
1193,86
1194,71
1195,57
1196,62
1197,80
1198,109
1199,107
1200,48
1201,75
1202,105
1203,64
1204,61
1205,131
1206,54
1207,88
1208,90
1209,168
1210,38
1211,100
1212,106
1213,67
1214,58
1215,80
1216,69
1217,100
1218,86
1219,98
1220,92
1221,89
1222,65
1223,77
1224,53
1225,71
1226,69
1227,57
1228,86
1229,40
1230,100
1231,58
1232,57
1233,54
1234,74
1235,52
1236,100
1237,61
1238,120
1239,62
1240,116
1241,122
1242,46
1243,83
1244,116
1245,74
1246,94
1247,134
1248,68
1249,102
1250,104
1251,65
1252,48
1253,57
1254,65
1255,77
1256,92
1257,71
1258,86
1259,89
1260,68
1261,78
1262,101
1263,71
1264,59
1265,88
1266,64
1267,94
1268,131
1269,82
1270,98
1271,83
1272,57
1273,125
1274,49
1275,94
1276,53
1277,123
1278,126
1279,45
1280,51
1281,98
1282,62
1283,63
1284,57
1285,91
1286,82
1287,61
1288,75
1289,44
1290,84
1291,63
1292,65
1293,81
1294,67
1295,85
1296,65
1297,75
1298,63
1299,115
1300,79
1301,71
1302,87
1303,79
1304,125
1305,99
1306,70
1307,125
1308,73
1309,59
1310,98
1311,68
1312,70
1313,56
1314,89
1315,62
1316,79
1317,63
1318,79
1319,63
1320,93
1321,70
1322,45
1323,90
1324,51
1325,83
1326,95
1327,82
1328,64
1329,84
1330,70
1331,89
1332,78
1333,63
1334,77
1335,105
1336,49
1337,53
1338,84
1339,48
1340,65
1341,44
1342,119
1343,51
1344,110
1345,91
1346,84
1347,102
1348,63
1349,54
1350,61
1351,136
1352,91
1353,66
1354,66
1355,92
1356,64
1357,62
1358,85
1359,91
1360,73
1361,61
1362,61
1363,59
1364,100
1365,144
1366,86
1367,59
1368,90
1369,64
1370,79
1371,118
1372,57
1373,102
1374,58
1375,93
1376,77
1377,74
1378,53
1379,102
1380,85
1381,64
1382,48
1383,112
1384,60
1385,83
1386,72
1387,84
1388,72
1389,47
1390,58
1391,72
1392,76
1393,74
1394,84
1395,75
1396,44
1397,111
1398,63
1399,68
1400,79
1401,93
1402,79
1403,95
1404,70
1405,95
1406,60
1407,96
1408,68
1409,69
1410,52
1411,95
1412,74
1413,66
1414,94
1415,89
1416,74
1417,36
1418,66
1419,88
1420,95
1421,55
1422,51
1423,77
1424,67
1425,93
1426,58
1427,113
1428,66
1429,88
1430,59
1431,90
1432,48
1433,47
1434,60
1435,61
1436,61
1437,89
1438,100
1439,77
1440,134
1441,77
1442,71
1443,77
1444,77
1445,66
1446,71
1447,64
1448,57
1449,91
1450,93
1451,96
1452,90
1453,84
1454,83
1455,93
1456,69
1457,37
1458,95
1459,50
1460,58
1461,108
1462,77
1463,65
1464,66
1465,106
1466,105
1467,59
1468,54
1469,99
1470,125
1471,111
1472,75
1473,87
1474,31
1475,38
1476,76
1477,49
1478,50
1479,81
1480,79
1481,122
1482,73
1483,50
1484,123
1485,110
1486,70
1487,68
1488,71
1489,104
1490,41
1491,59
1492,43
1493,56
1494,65
1495,83
1496,117
1497,69
1498,78
1499,71
1500,118
1501,75
1502,115
1503,87
1504,71
1505,81
1506,64
1507,73
1508,73
1509,85
1510,80
1511,68
1512,61
1513,76
1514,52
1515,80
1516,88
1517,54
1518,145
1519,92
1520,89
1521,73
1522,57
1523,93
1524,46
1525,92
1526,72
1527,74
1528,76
1529,78
1530,72
1531,54
1532,96
1533,73
1534,70
1535,70
1536,76
1537,127
1538,61
1539,51
1540,96
1541,73
1542,69
1543,58
1544,74
1545,72
1546,39
1547,61
1548,54
1549,81
1550,90
1551,105
1552,123
1553,65
1554,73
1555,35
1556,63
1557,67
1558,92
1559,64
1560,96
1561,91
1562,85
1563,70
1564,44
1565,92
1566,49
1567,82
1568,75
1569,60
1570,77
1571,94
1572,64
1573,85
1574,86
1575,64
1576,81
1577,93
1578,113
1579,42
1580,90
1581,53
1582,58
1583,103
1584,54
1585,51
1586,94
1587,90
1588,141
1589,65
1590,78
1591,58
1592,120
1593,139
1594,101
1595,63
1596,55
1597,92
1598,83
1599,104
1600,96
1601,118
1602,52
1603,105
1604,57
1605,93
1606,97
1607,47
1608,108
1609,57
1610,95
1611,100
1612,67
1613,109
1614,68
1615,60
1616,63
1617,74
1618,107
1619,88
1620,71
1621,60
1622,38
1623,63
1624,109
1625,60
1626,56
1627,90
1628,103
1629,80
1630,68
1631,117
1632,54
1633,67
1634,72
1635,58
1636,65
1637,38
1638,85
1639,121
1640,60
1641,64
1642,44
1643,108
1644,76
1645,98
1646,90
1647,57
1648,92
1649,80
1650,101
1651,89
1652,75
1653,73
1654,91
1655,62
1656,79
1657,91
1658,90
1659,69
1660,54
1661,63
1662,81
1663,112
1664,70
1665,65
1666,78
1667,145
1668,73
1669,69
1670,101
1671,91
1672,122
1673,50
1674,71
1675,79
1676,91
1677,87
1678,61
1679,83
1680,64
1681,93
1682,41
1683,55
1684,58
1685,103
1686,62
1687,76
1688,54
1689,97
1690,74
1691,94
1692,88
1693,139
1694,79
1695,84
1696,69
1697,80
1698,77
1699,56
1700,89
1701,50
1702,45
1703,63
1704,47
1705,41
1706,123
1707,63
1708,105
1709,88
1710,49
1711,68
1712,93
1713,84
1714,63
1715,80
1716,65
1717,51
1718,60
1719,97
1720,46
1721,93
1722,124
1723,97
1724,77
1725,158
1726,95
1727,74
1728,92
1729,57
1730,60
1731,83
1732,65
1733,79
1734,66
1735,69
1736,79
1737,103
1738,71
1739,80
1740,93
1741,86
1742,46
1743,67
1744,91
1745,95
1746,61
1747,95
1748,56
1749,65
1750,132
1751,76
1752,81
1753,80
1754,88
1755,78
1756,54
1757,98
1758,113
1759,83
1760,100
1761,66
1762,72
1763,39
1764,88
1765,88
1766,79
1767,51
1768,94
1769,92
1770,47
1771,50
1772,104
1773,60
1774,63
1775,91
1776,76
1777,44
1778,111
1779,86
1780,77
1781,111
1782,125
1783,126
1784,66
1785,56
1786,46
1787,107
1788,45
1789,84
1790,40
1791,109
1792,66
1793,44
1794,58
1795,29
1796,52
1797,88
1798,74
1799,82
1800,96
1801,57
1802,113
1803,93
1804,81
1805,78
1806,109
1807,103
1808,46
1809,67
1810,53
1811,43
1812,56
1813,86
1814,64
1815,51
1816,84
1817,97
1818,93
1819,81
1820,71
1821,75
1822,78
1823,112
1824,62
