,0
1324,7
1325,15
1326,10
1327,47
1328,12
1329,14
1330,4
1331,19
1332,100
1333,27
1334,21
1335,10
1336,13
1337,37
1338,25
1339,31
1340,32
1341,97
1342,24
1343,13
1344,8
1345,7
1346,6
1347,3
1348,5
1349,29
1350,21
1351,30
1352,40
1353,23
1354,15
1355,13
1356,3
1357,4
1358,5
1359,29
1360,34
1361,9
1362,10
1363,28
1364,4
1365,15
1366,69
1367,5
1368,5
1369,17
1370,16
1371,22
1372,15
1373,22
1374,3
1375,8
1376,9
1377,13
1378,21
1379,46
1380,6
1381,12
1382,19
1383,38
1384,45
1385,9
1386,30
1387,5
1388,49
1389,66
1390,16
1391,30
1392,39
1393,32
1394,13
1395,55
1396,8
1397,56
1398,91
1399,32
1400,10
1401,15
1402,23
1403,43
1404,10
1405,15
1406,14
1407,2
1408,21
1409,9
1410,12
1411,3
1412,23
1413,21
1414,30
1415,5
1416,42
1417,27
1418,4
1419,7
1420,9
1421,12
1422,95
1423,18
1424,94
1425,14
1426,54
1427,6
1428,56
1429,12
1430,12
1431,13
1432,51
1433,14
1434,25
1435,49
1436,24
1437,20
1438,35
1439,41
1440,51
1441,20
1442,44
1443,14
1444,20
1445,14
1446,47
1447,39
1448,17
1449,6
1450,43
1451,24
1452,8
1453,12
1454,54
1455,34
1456,5
1457,15
1458,46
1459,44
1460,19
1461,7
1462,37
1463,6
1464,6
1465,4
1466,6
1467,18
1468,12
1469,26
1470,3
1471,21
1472,12
1473,6
1474,12
1475,56
1476,30
1477,16
1478,42
1479,29
1480,33
1481,25
1482,19
1483,14
1484,10
1485,32
1486,12
1487,44
1488,15
1489,26
1490,3
1491,76
1492,36
1493,8
1494,41
1495,62
1496,63
1497,12
1498,11
1499,11
1500,6
1501,55
1502,31
1503,21
1504,3
1505,32
1506,24
1507,12
1508,12
1509,6
1510,7
1511,13
1512,20
1513,44
1514,29
1515,27
1516,11
1517,19
1518,7
1519,36
1520,17
1521,34
1522,2
1523,11
1524,58
1525,14
1526,11
1527,33
1528,18
1529,11
1530,35
1531,36
1532,12
1533,21
1534,42
1535,37
1536,11
1537,7
1538,28
1539,18
1540,18
1541,4
1542,11
1543,12
1544,10
1545,22
1546,10
1547,24
1548,18
1549,21
1550,31
1551,16
1552,63
1553,5
1554,37
1555,45
1556,13
1557,8
1558,39
1559,4
1560,15
1561,32
1562,29
1563,53
1564,8
1565,22
1566,7
1567,22
1568,48
1569,40
1570,16
1571,20
1572,8
1573,4
1574,7
1575,8
1576,15
1577,15
1578,17
1579,13
1580,16
1581,47
1582,15
1583,33
1584,27
1585,52
1586,13
1587,12
1588,7
1589,62
1590,21
1591,23
1592,12
1593,12
1594,10
1595,15
1596,30
1597,28
1598,8
1599,45
1600,38
1601,51
1602,7
1603,2
1604,9
1605,21
1606,31
1607,15
1608,8
1609,8
1610,22
1611,34
1612,30
1613,16
1614,44
1615,35
1616,18
1617,8
1618,18
1619,4
1620,63
1621,21
1622,28
1623,15
1624,28
1625,26
1626,8
1627,47
1628,25
1629,9
1630,13
1631,11
1632,34
1633,28
1634,24
1635,16
1636,51
1637,31
1638,34
1639,25
1640,26
1641,12
1642,73
1643,27
1644,13
1645,22
1646,29
1647,17
1648,9
1649,31
1650,67
1651,59
1652,15
1653,41
1654,33
1655,48
1656,62
1657,12
1658,28
1659,10
1660,41
1661,20
1662,2
1663,85
1664,85
1665,18
1666,27
1667,30
1668,10
1669,11
1670,96
1671,32
1672,48
1673,26
1674,31
1675,32
1676,28
1677,20
1678,55
1679,56
1680,19
1681,12
1682,42
1683,18
1684,24
1685,18
1686,22
1687,14
1688,39
1689,12
1690,6
1691,18
1692,10
1693,9
1694,17
1695,25
1696,17
1697,27
1698,14
1699,24
1700,35
1701,24
1702,41
1703,37
1704,7
1705,17
1706,28
1707,22
1708,52
1709,44
1710,32
1711,64
1712,46
1713,48
1714,14
1715,11
1716,40
1717,65
1718,47
1719,8
1720,27
1721,27
1722,28
1723,50
1724,6
1725,6
1726,3
1727,8
1728,10
1729,66
1730,16
1731,18
1732,18
1733,21
1734,37
1735,32
1736,9
1737,15
1738,31
1739,45
1740,27
1741,24
1742,19
1743,32
1744,20
1745,22
1746,8
1747,53
1748,18
1749,23
1750,7
1751,37
1752,14
1753,43
1754,19
1755,53
1756,17
1757,26
1758,14
1759,18
1760,27
1761,12
1762,36
1763,30
1764,4
1765,11
1766,19
1767,31
1768,19
1769,17
1770,46
1771,14
1772,25
1773,27
1774,37
1775,7
1776,45
1777,107
1778,43
1779,15
1780,50
1781,32
1782,25
1783,17
1784,8
1785,40
1786,81
1787,9
1788,18
1789,11
1790,37
1791,38
1792,8
1793,25
1794,49
1795,63
1796,107
1797,26
1798,25
1799,9
1800,21
1801,18
1802,44
1803,28
1804,25
1805,35
1806,37
1807,35
1808,26
1809,4
1810,15
1811,11
1812,30
1813,14
1814,28
1815,23
1816,20
1817,16
1818,12
1819,16
1820,51
1821,13
1822,12
1823,40
1824,23
1825,33
1826,34
1827,58
1828,7
1829,10
1830,7
1831,14
1832,29
1833,69
1834,7
1835,21
1836,35
1837,34
1838,23
1839,35
1840,56
1841,14
1842,49
1843,12
1844,52
1845,48
1846,22
1847,24
1848,29
1849,99
1850,11
1851,32
1852,28
1853,30
1854,33
1855,45
1856,31
1857,14
1858,29
1859,41
1860,17
1861,78
1862,23
1863,30
1864,26
1865,33
1866,27
1867,33
1868,51
1869,25
1870,34
1871,9
1872,19
1873,16
1874,25
1875,9
1876,39
1877,13
1878,28
1879,7
1880,15
1881,19
1882,26
1883,10
1884,22
1885,19
1886,49
1887,51
1888,59
1889,28
1890,21
1891,15
1892,48
1893,8
1894,20
1895,11
1896,13
1897,5
1898,47
1899,29
1900,22
1901,67
1902,32
1903,31
1904,9
1905,18
1906,3
1907,21
1908,20
1909,46
1910,28
1911,29
1912,17
1913,7
1914,15
1915,12
1916,88
1917,23
1918,42
1919,12
1920,40
1921,35
1922,15
1923,8
1924,36
1925,37
1926,36
1927,5
1928,39
1929,34
1930,45
1931,11
1932,9
1933,19
1934,51
1935,46
1936,32
1937,17
1938,71
1939,26
1940,16
1941,49
1942,10
1943,24
1944,31
1945,17
1946,20
1947,18
1948,54
1949,11
1950,11
1951,28
1952,16
1953,13
1954,19
1955,11
1956,17
1957,37
1958,78
1959,10
1960,13
1961,44
1962,25
1963,37
1964,28
1965,18
1966,32
1967,18
1968,52
1969,19
1970,30
1971,28
1972,33
1973,24
1974,13
1975,19
1976,45
1977,15
1978,39
1979,55
1980,19
1981,16
1982,16
1983,46
1984,62
1985,48
1986,9
1987,15
1988,23
1989,31
1990,39
1991,48
1992,28
1993,53
1994,21
1995,45
1996,25
1997,34
1998,50
1999,29
2000,12
2001,14
2002,20
2003,21
2004,39
2005,47
2006,33
2007,56
2008,36
2009,39
2010,51
2011,31
2012,17
2013,16
2014,42
2015,44
2016,21
2017,10
2018,13
2019,17
2020,51
2021,33
2022,15
2023,28
2024,34
2025,23
2026,15
2027,48
2028,14
2029,62
2030,11
2031,17
2032,20
2033,67
2034,22
2035,38
2036,13
2037,29
2038,35
2039,34
2040,23
2041,35
2042,4
2043,9
2044,44
2045,49
2046,13
2047,73
2048,40
2049,17
2050,20
2051,27
2052,12
2053,36
2054,16
2055,33
2056,22
2057,35
2058,13
2059,25
2060,56
2061,16
2062,45
2063,34
2064,18
2065,18
2066,18
2067,14
2068,23
2069,34
2070,10
2071,49
2072,4
2073,26
2074,18
2075,14
2076,57
2077,60
2078,26
2079,22
2080,19
2081,9
2082,17
2083,75
2084,22
2085,74
2086,22
2087,18
2088,30
2089,42
2090,34
2091,27
2092,42
2093,34
2094,56
2095,26
2096,54
2097,6
2098,8
2099,9
2100,9
2101,16
2102,10
2103,15
2104,65
2105,7
2106,9
2107,71
2108,51
2109,44
2110,38
2111,36
2112,24
2113,21
2114,27
2115,17
2116,27
2117,30
2118,39
2119,29
2120,17
2121,58
2122,62
2123,22
2124,9
2125,44
2126,47
2127,20
2128,18
2129,26
2130,24
2131,45
2132,36
2133,9
2134,23
2135,15
2136,9
2137,31
2138,21
2139,45
2140,8
2141,57
2142,49
2143,22
2144,15
2145,29
2146,76
2147,60
2148,25
2149,10
2150,39
2151,50
2152,10
2153,33
2154,40
2155,10
2156,48
2157,12
2158,6
2159,27
2160,42
2161,7
2162,15
2163,18
2164,25
2165,47
2166,11
2167,37
2168,19
2169,25
2170,57
2171,12
2172,38
2173,39
2174,39
2175,22
2176,14
2177,32
2178,35
2179,11
2180,32
2181,10
2182,9
2183,16
2184,18
2185,51
2186,38
2187,28
2188,14
2189,39
2190,33
2191,23
2192,20
2193,38
2194,28
2195,28
2196,15
2197,33
2198,24
2199,34
2200,6
2201,30
2202,27
2203,34
2204,72
2205,29
2206,29
2207,26
2208,27
2209,48
2210,31
2211,35
2212,17
2213,33
2214,21
2215,26
2216,24
2217,34
2218,35
2219,25
2220,81
2221,14
2222,27
2223,42
2224,12
2225,36
2226,32
2227,30
2228,38
2229,29
2230,40
2231,69
2232,23
2233,21
2234,97
2235,19
2236,44
2237,31
2238,29
2239,31
2240,25
2241,34
2242,85
